private,size,occup_code,vac_total,vac_peo,prob_y,prob_cbop
Public,Large,1,403,22,0.730149303664319,0.054590570719603
Public,Large,2,8149,936,0.739926629566421,0.114860719106639
Public,Large,3,1971,252,0.567186527094181,0.127853881278539
Public,Large,4,1368,141,0.450499618495982,0.103070175438596
Public,Large,5,670,162,0.30743968286243,0.241791044776119
Public,Large,7,1034,250,0.683020927143732,0.241779497098646
Public,Large,8,1929,587,0.376994779670493,0.304302747537584
Public,Large,9,543,113,0.496665106446329,0.208103130755064
Public,Medium,1,322,43,0.94391321618495,0.133540372670807
Public,Medium,2,4026,1343,0.946512746549525,0.33358171882762
Public,Medium,3,916,134,0.890721796333899,0.146288209606987
Public,Medium,4,415,77,0.836046527146779,0.185542168674699
Public,Medium,5,417,98,0.734121946904867,0.235011990407674
Public,Medium,7,107,18,0.930567758746538,0.168224299065421
Public,Medium,8,77,8,0.790083741683159,0.103896103896104
Public,Medium,9,355,135,0.859894505950131,0.380281690140845
Public,Small,1,36,3,0.964858328551188,0.0833333333333333
Public,Small,2,384,59,0.966521518425852,0.153645833333333
Public,Small,3,450,336,0.930058921540334,0.746666666666667
Public,Small,4,115,19,0.892694181582694,0.165217391304348
Public,Small,5,143,23,0.818333446133739,0.160839160839161
Public,Small,7,49,12,0.956265702344341,0.244897959183673
Public,Small,8,166,53,0.859951821025287,0.319277108433735
Public,Small,9,57,7,0.909197345483531,0.12280701754386
Private,Large,1,1876,21,0.469308563418977,0.0111940298507463
Private,Large,2,10317,204,0.481829693609766,0.0197731898807793
Private,Large,3,3801,64,0.299869549981153,0.0168376742962378
Private,Large,4,2658,38,0.211325726399318,0.0142964635063958
Private,Large,5,3170,189,0.126704441322688,0.059621451104101
Private,Large,7,6076,843,0.413234323786399,0.138742593811718
Private,Large,8,6169,1064,0.165118823936215,0.172475279623926
Private,Large,9,1827,284,0.243858522837764,0.155446086480569
Private,Small,1,508,131,0.899735861166842,0.257874015748032
Private,Small,2,3307,212,0.904175074841412,0.0641064408829755
Private,Small,3,1242,120,0.812950098845983,0.0966183574879227
Private,Small,4,2513,501,0.731109830990444,0.199363310783924
Private,Small,5,4212,563,0.595511287328468,0.13366571699905
Private,Small,7,11165,2017,0.877245738647904,0.180653828929691
Private,Small,8,6516,543,0.667431159114721,0.0833333333333333
Private,Small,9,2359,108,0.765948392593102,0.0457821110640102
Private,Medium,1,443,2,0.846164968512839,0.00451467268623025
Private,Medium,2,2044,157,0.852587438229671,0.0768101761252446
Private,Medium,3,1126,103,0.727075414055234,0.0914742451154529
Private,Medium,4,1708,205,0.624994249296772,0.120023419203747
Private,Medium,5,1204,56,0.474356745079741,0.0465116279069768
Private,Medium,7,5338,2026,0.81414067030365,0.379542899962533
Private,Medium,8,2935,306,0.551598098699808,0.104258943781942
Private,Medium,9,1383,299,0.66732553440568,0.216196673897325
